main.py
Gx=2.05 °/s 	Gy=0.02 °/s 	Gz=0.17 °/s 	Ax=1.00 g 	Ay=0.14 g 	Az=-0.01 g
Gx=2.07 °/s 	Gy=0.02 °/s 	Gz=0.16 °/s 	Ax=1.00 g 	Ay=0.15 g 	Az=-0.01 g
Gx=2.12 °/s 	Gy=0.10 °/s 	Gz=0.05 °/s 	Ax=1.00 g 	Ay=0.15 g 	Az=-0.00 g
Gx=2.08 °/s 	Gy=-1.95 °/s 	Gz=0.08 °/s 	Ax=1.00 g 	Ay=0.14 g 	Az=0.01 g
Gx=2.07 °/s 	Gy=0.17 °/s 	Gz=0.05 °/s 	Ax=1.01 g 	Ay=0.14 g 	Az=-0.02 g
Gx=2.12 °/s 	Gy=-0.07 °/s 	Gz=0.05 °/s 	Ax=1.00 g 	Ay=0.15 g 	Az=0.01 g
Gx=2.11 °/s 	Gy=-0.01 °/s 	Gz=0.05 °/s 	Ax=1.00 g 	Ay=0.16 g 	Az=-0.01 g
Gx=2.08 °/s 	Gy=0.24 °/s 	Gz=0.02 °/s 	Ax=1.00 g 	Ay=0.15 g 	Az=-0.01 g
Gx=2.14 °/s 	Gy=-0.10 °/s 	Gz=0.11 °/s 	Ax=0.99 g 	Ay=0.16 g 	Az=0.00 g
Gx=2.02 °/s 	Gy=0.15 °/s 	Gz=0.14 °/s 	Ax=1.00 g 	Ay=0.16 g 	Az=0.03 g
Gx=2.07 °/s 	Gy=0.09 °/s 	Gz=0.17 °/s 	Ax=0.99 g 	Ay=0.16 g 	Az=0.00 g
Gx=2.01 °/s 	Gy=-0.03 °/s 	Gz=0.22 °/s 	Ax=1.00 g 	Ay=0.17 g 	Az=0.01 g
Gx=0.01 °/s 	Gy=0.23 °/s 	Gz=0.27 °/s 	Ax=1.00 g 	Ay=0.16 g 	Az=0.00 g
Gx=2.02 °/s 	Gy=-0.04 °/s 	Gz=0.30 °/s 	Ax=1.00 g 	Ay=0.17 g 	Az=-0.00 g
Gx=1.97 °/s 	Gy=0.23 °/s 	Gz=0.32 °/s 	Ax=1.00 g 	Ay=0.16 g 	Az=-0.01 g
Gx=2.01 °/s 	Gy=0.03 °/s 	Gz=0.34 °/s 	Ax=1.00 g 	Ay=0.15 g 	Az=-0.01 g
Gx=1.97 °/s 	Gy=0.12 °/s 	Gz=0.32 °/s 	Ax=1.01 g 	Ay=0.15 g 	Az=-0.01 g
Gx=2.02 °/s 	Gy=0.12 °/s 	Gz=0.29 °/s 	Ax=1.01 g 	Ay=0.14 g 	Az=-0.03 g
Gx=2.03 °/s 	Gy=0.00 °/s 	Gz=0.30 °/s 	Ax=1.00 g 	Ay=0.14 g 	Az=-0.01 g
Gx=2.03 °/s 	Gy=0.17 °/s 	Gz=0.26 °/s 	Ax=1.01 g 	Ay=0.15 g 	Az=-0.01 g
Gx=2.03 °/s 	Gy=0.04 °/s 	Gz=0.29 °/s 	Ax=0.98 g 	Ay=0.13 g 	Az=-0.02 g
Gx=2.04 °/s 	Gy=0.08 °/s 	Gz=0.24 °/s 	Ax=1.00 g 	Ay=0.15 g 	Az=-0.01 g
Gx=2.03 °/s 	Gy=0.11 °/s 	Gz=0.25 °/s 	Ax=1.00 g 	Ay=0.14 g 	Az=-0.00 g
Gx=2.02 °/s 	Gy=0.01 °/s 	Gz=0.26 °/s 	Ax=1.00 g 	Ay=0.16 g 	Az=-0.01 g
Gx=2.02 °/s 	Gy=0.15 °/s 	Gz=0.26 °/s 	Ax=1.01 g 	Ay=0.15 g 	Az=-0.01 g
Gx=2.02 °/s 	Gy=0.01 °/s 	Gz=0.30 °/s 	Ax=0.99 g 	Ay=0.15 g 	Az=0.01 g
Gx=2.00 °/s 	Gy=0.16 °/s 	Gz=0.26 °/s 	Ax=1.01 g 	Ay=0.12 g 	Az=-0.01 g
Gx=2.04 °/s 	Gy=0.02 °/s 	Gz=0.29 °/s 	Ax=1.00 g 	Ay=0.14 g 	Az=-0.01 g
Gx=2.00 °/s 	Gy=0.11 °/s 	Gz=0.26 °/s 	Ax=1.00 g 	Ay=0.15 g 	Az=-0.00 g
Gx=2.00 °/s 	Gy=0.07 °/s 	Gz=0.25 °/s 	Ax=0.99 g 	Ay=0.13 g 	Az=-0.01 g
Gx=2.04 °/s 	Gy=0.07 °/s 	Gz=0.24 °/s 	Ax=1.01 g 	Ay=0.13 g 	Az=-0.01 g
Gx=2.05 °/s 	Gy=0.10 °/s 	Gz=0.23 °/s 	Ax=0.99 g 	Ay=0.14 g 	Az=-0.00 g
Gx=2.02 °/s 	Gy=0.08 °/s 	Gz=0.27 °/s 	Ax=1.00 g 	Ay=0.15 g 	Az=-0.01 g
Gx=2.01 °/s 	Gy=0.04 °/s 	Gz=0.31 °/s 	Ax=1.01 g 	Ay=0.15 g 	Az=-0.01 g
Gx=2.01 °/s 	Gy=0.13 °/s 	Gz=0.33 °/s 	Ax=1.00 g 	Ay=0.14 g 	Az=-0.01 g
 Keyboard Interrupt detected. Exiting...
Lights Killed
Comms Killed
Gx=2.00 °/s 	Gy=0.11 °/s 	Gz=0.32 °/s 	Ax=1.00 g 	Ay=0.14 g 	Az=-0.01 g
Accel Killed
